news_url,image_url,title,text,source_name,date,topics,sentiment,type,tickers
https://www.coindesk.com/tech/2022/03/29/blockware-solutions-builds-20mw-bitcoin-mining-data-center-in-kentucky/,https://crypto.snapi.dev/images/v1/w/c/7w2jvhvdzjaiblyj2pmyk57me4-122707.jpeg,Blockware Solutions Builds 20MW Bitcoin Mining Data Center in Kentucky,The facility has potential to be expanded to 75MW.,Coindesk,"Tue, 29 Mar 2022 09:00:00 -0400",['mining'],Neutral,Article,['BTC']
https://cointelegraph.com/news/bosnian-court-sides-with-bitcoin-miner-in-frozen-bank-account-case,https://crypto.snapi.dev/images/v1/x/v/840-ahr0chm6ly9zmy5jb2ludgvszwdyyxbolmnvbs91cgxvywrzlziwmjitmdmvngq0mmmwzjitywm2zs00mznilwjjy2qtndu3otgxy2rim2yxlmpwzw-122637.jpg,Bosnian court sides with Bitcoin miner in frozen bank account case,"The second-largest Italian bank would have to pay $144 million in compensation to the mining farm, the judge rules.",Cointelegraph,"Tue, 29 Mar 2022 07:42:06 -0400",['mining'],Neutral,Article,['BTC']
https://cointelegraph.com/news/the-bitcoin-shitcoin-machine-mining-btc-with-biogas,https://crypto.snapi.dev/images/v1/u/z/840-ahr0chm6ly9zmy5jb2ludgvszwdyyxbolmnvbs91cgxvywrzlziwmjitmdmvotewyjyzztgtymyxmy00mtdllwfjnjatmzhiowjkmge1ota1lmpwzw-122599.jpg,The Bitcoin shitcoin machine: Mining BTC with biogas,"A Bitcoin mining facility in Slovakia converts human and animal waste into Bitcoin hash rate, securing the network while mining Bitcoin.",Cointelegraph,"Tue, 29 Mar 2022 06:05:00 -0400",['mining'],Neutral,Article,['BTC']
https://cointelegraph.com/news/price-analysis-3-28-btc-eth-bnb-xrp-ada-luna-sol-avax-dot-doge,https://crypto.snapi.dev/images/v1/5/q/840-ahr0chm6ly9zmy5jb2ludgvszwdyyxbolmnvbs91cgxvywrzlziwmjitmdmvmmy5m2m4n2qtyte1mi00yzy5ltkymjitmmnkmduwyzu4odqxlmpwzw-122441.jpg,"Price analysis 3/28: BTC, ETH, BNB, XRP, ADA, LUNA, SOL, AVAX, DOT, DOGE","Bitcoin and select altcoins are showing signs of starting a new uptrend, indicating that the sentiment may have turned from selling on rallies to buying on dips.",Cointelegraph,"Mon, 28 Mar 2022 16:13:37 -0400",['tanalysis'],Neutral,Article,"['ADA', 'AVAX', 'BNB', 'BTC', 'DOGE', 'LUNA', 'SOL', 'XRP', 'DOT', 'ETH']"
https://www.youtube.com/watch?v=hgDMAAtUKgk,https://crypto.snapi.dev/images/v1/w/h/kanchanara-y7bzimidwos-unsplash-631x420-120832-121224-121653-122019-122411.jpg,"Bitcoin Breaks Above $46K with Resistance at $48K-$51K, the Great Crypto Flippening Debate","""All About Bitcoin"" host Christine Lee speaks to Valkyrie Head of Research Josh Olszewicz for his take on the bitcoin markets as the digital gold breaks above $47K in high trading volumes. Plus, insights on the debate of crypto flippening from Abra CEO Bill Barhydt.",Coindesk,"Mon, 28 Mar 2022 14:51:45 -0400",['tanalysis'],Positive,Video,['BTC']
https://www.coindesk.com/business/2022/03/28/bitcoin-miner-iris-energy-gets-71m-equipment-financing-from-nydig/,https://crypto.snapi.dev/images/v1/j/o/4agaak6xpffptlvtg5sotqtnxm-122268.jpg,Bitcoin Miner Iris Energy Gets $71M Equipment Financing from NYDIG,"The financing is backed by 19,800 Bitmain S19j Pro miners that have hashrate of about 1.98 exahash per second.",Coindesk,"Mon, 28 Mar 2022 09:35:00 -0400",['mining'],Neutral,Article,['BTC']
https://cointelegraph.com/news/rio-de-janeiro-to-accept-bitcoin-for-real-estate-taxes-from-2023,https://crypto.snapi.dev/images/v1/e/g/840-ahr0chm6ly9zmy5jb2ludgvszwdyyxbolmnvbs91cgxvywrzlziwmjitmdmvngy3otuzzwqtywflys00mgiwlthhoditymu3mjvkywqyodm4lmpwzw-121947.jpg,Rio de Janeiro to accept Bitcoin for real estate taxes from 2023,"Supporting this cause led by Mayor Eduardo Paes, Binance CEO Changpeng Zhao announced to open a new office in the Brazilian city stating that “He's done his part. We are working on ours.",Cointelegraph,"Sun, 27 Mar 2022 00:48:01 -0400",['taxes'],Positive,Article,['BTC']
https://www.coindesk.com/layer2/miningweek/2022/03/26/is-miner-concentration-once-again-jeopardizing-bitcoin-not-exactly/,https://crypto.snapi.dev/images/v1/c/e/celqt5v6zve3pbpoamcqkb6zxu-121901.png,Is Miner Concentration Once Again Jeopardizing Bitcoin? Not Exactly,"The high percentage of hashrate now located in North America may look like China 2.0, but the reality is more complicated.",Coindesk,"Sat, 26 Mar 2022 12:38:00 -0400",['mining'],Neutral,Article,['BTC']
https://cointelegraph.com/news/price-analysis-3-25-btc-eth-bnb-xrp-ada-luna-sol-avax-dot-doge,https://crypto.snapi.dev/images/v1/z/b/840-ahr0chm6ly9zmy5jb2ludgvszwdyyxbolmnvbs91cgxvywrzlziwmjitmdmvmdkxnjm3zdatotcwms00ywi5lwjiztytodllodvjytc1zjc3lmpwzw-121703.jpg,"Price analysis 3/25: BTC, ETH, BNB, XRP, ADA, LUNA, SOL, AVAX, DOT, DOGE","BTC and most major altcoins could witness a minor dip to retest lower support levels, but the overall trajectory appears to now favor bulls.",Cointelegraph,"Fri, 25 Mar 2022 15:00:00 -0400",['tanalysis'],Neutral,Article,"['ADA', 'AVAX', 'BNB', 'BTC', 'DOGE', 'LUNA', 'SOL', 'XRP', 'DOT', 'ETH']"
https://www.youtube.com/watch?v=k4ykEUlOF3E,https://crypto.snapi.dev/images/v1/6/6/840-ahr0chm6ly9zmy5jb2ludgvszwdyyxbolmnvbs91cgxvywrzlziwmjitmdmvnwu5n2vhngmtoty1my00zdu0ltkxzgytngywmgy0zjazzmzilmpwzw-121515-121698.jpg,"Bitcoin's Institutional Adoption, Prospect of Using Bitcoin for Russia Oil Sales and More","""All About Bitcoin's"" Friday panel tackles the top stories of the week, including the institutional adoption of bitcoin as BlackRock plans to offer bitcoin services and bitcoin topping $44K amid rumors of Terra's Luna Foundation accumulating BTC. Plus, a look ahead at the EU's proposed MiCA regulatory package moving forward to the next phase of discussions without seeking to restrict the use of proof-of-work crypto.",Coindesk,"Fri, 25 Mar 2022 14:35:39 -0400",['institutions'],Positive,Video,['BTC']
https://www.coindesk.com/business/2022/03/25/greener-bitcoin-mining-could-be-chinas-trillion-dollar-present-to-the-us/,https://crypto.snapi.dev/images/v1/a/j/mam2yoebpfg4fp5sv7i7lort6m-121688.jpeg,Greener Bitcoin Mining Could Be China's ‘Trillion-Dollar Present' to the US,Can change come fast enough for an ESG-embattled mining industry?,Coindesk,"Fri, 25 Mar 2022 14:16:00 -0400",['mining'],Neutral,Article,['BTC']
https://www.coindesk.com/business/2022/03/25/bitcoin-miner-terawulfs-stock-can-rally-almost-160-says-analyst/,https://crypto.snapi.dev/images/v1/x/v/e5ugvxjssbfyrn2xd4f66ka3jq-121573.jpeg,"Bitcoin Miner TeraWulf's Stock Can Rally Almost 160%, Says Analyst",B. Riley initiated the environmentally sustainable miner's stock with a buy rating and a 12-month price target of $24.,Coindesk,"Fri, 25 Mar 2022 09:39:00 -0400",['mining'],Positive,Article,['BTC']
